Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
GetWork,Recruitment,Seed,200000,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2021-01-01
Easebuzz,E-Commerce,Series A,4000000,Pune,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,2021-01-01
Chingari,Social Media,Seed,13000000,Bangalore,Chingari operates as a short video platform.,2021-01-01
DusMinute,Retail,Pre-Series A,1100000,Bangalore,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,2021-01-01
Onsurity,Healthcare,Seed,3000000,Bangalore,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,2021-01-01
Karbon Card,Fintech,Seed,3000000,Bangalore,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,2021-01-01
Factors.AI,Saas,Seed,2000000,Bangalore,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers",2021-01-01
Elevar,Sports,Seed,2000000,Mumbai,"A Revolutionary Sports Brand, Engineered For Those Who Want More.",2021-01-01
Studio Sirah,Games,Seed,800000,Bangalore,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,2021-01-01
OTO Capital,Fintech,Seed,6000000,Mumbai,The Future Of Vehicle Ownership!,2021-01-01
1Bridge,Consumer Goods,Seed,2500000,Bangalore,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village",2021-01-01
Skeps,Fintech,Seed,9500000,Gurugram,"A blockchain products company, developing a proprietary product in the FinTech space",2021-01-01
Curefoods,Food & Beverages,Seed,13000000,Bangalore,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,2021-01-01
TartanSense,Information Technology,Seed,5000000,Bangalore,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,2021-01-01
Bewakoof,Apparel & Fashion,Seed,8000000,Mumbai,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",2021-01-01
Kirana247,Logistics & Supply Chain,Seed,1000000,New Delhi,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,2021-01-01
NeoDocs,Healthtech,Seed,3000000,Mumbai,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",2021-01-01
IsGoingOnline,Retail,Seed,200000,Cochin,Kochi-based digital catalogue and marketplace IsGoingOnline,2021-01-01
Camp K12,Edtech,Seed,12000000,Gurugram,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",2021-01-01
Elda Health,Healthcare,Seed,1500000,Bangalore,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",2021-01-01
Sporjo,Sportstech,Seed,2000000,Mumbai,A one stop destination to build a successful career in the Indian sports industry!,2021-01-01
Advantage Club,Hr Tech,Seed,1700000,Mumbai,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",2021-01-01
SuperGaming,Games,Seed,5500000,Pune,"At SuperGaming, building India's best gaming company.",2021-01-01
Ruptok,Fintech,Seed,1000000,New Delhi,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",2021-01-01
TartanSense,Information Technology,Series A,5000000,Bangalore,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,2021-01-01
Kirana247,Logistics & Supply Chain,Pre-Series A,1000000,New Delhi,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,2021-01-01
NeoDocs,Healthtech,Pre-Seed,3000000,Mumbai,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",2021-01-01
IsGoingOnline,Retail,Pre-Series A,200000,Cochin,Kochi-based digital catalogue and marketplace IsGoingOnline,2021-01-01
Camp K12,Edtech,Series A,12000000,Gurugram,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",2021-01-01
Sporjo,Sportstech,Pre-Series A,2000000,Mumbai,A one stop destination to build a successful career in the Indian sports industry!,2021-01-01
SuperGaming,Games,Series A,5500000,Pune,"At SuperGaming, building India's best gaming company.",2021-01-01
O’ Be Cocktails,Wine & Spirits,Seed,400000,Bangalore,India’s first and only Ready to Drink Premium Cocktails.,2021-01-01
Zetwerk,Mechanical & Industrial Engineering,Series E,150000000,Bangalore,ZETWERK is a universal manufacturing network powered by new-age technology.,2021-01-01
AppsForBharat,Spiritual,Seed,4000000,Bangalore,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",2021-01-01
Imagimake,Consumer Goods,Seed,3000000,Mumbai,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.",2021-01-01
Khatabook,Financial Services,Series C,100000000,Bangalore,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,2021-01-01
Smytten,Consumer Goods,Series A,6000000,Gurugram,India's largest premium discovery and trial platform!,2021-01-01
Syook,Industrial Automation,Series A,1000000,Bangalore,Syook is building the next generation enterprise IOT platform.,2021-01-01
Akudo,Fintech,Pre-Seed,3000000,Bangalore,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,2021-01-01
NOTO,Consumer Goods,Pre-Series A,500000,Mumbai,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.",2021-01-01
Lumiq,Information Technology,Seed,2000000,Noida,Help enterprises monetize their data and reinvent the digital transformation journey.,2021-01-01
CommerceUp,Information Technology,Seed,3000000,Gurugram,Grow and manage ecommerce business from single dashboard,2021-01-01
Breathe Well-being,Health,Series A,5500000,Gurugram,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",2021-01-01
Hike,Information Technology,Seed,3000000,New Delhi,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,2021-01-01
House of Kieraya,Lifestyle,Seed,15000000,Bangalore,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",2021-01-01
goEgoNetwork,Automotive,Seed,2000000,Pune,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.",2021-01-01
Probus,Iot,Bridge,500000,New Delhi,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",2021-01-01
DrinkPrime,Consumer Goods,Seed,1000000,Bangalore,India's Smartest Water Purifiers and are redefining water purifier ownership.,2021-01-01
Smart Express,Logistics,Seed,10000000,Mumbai,India’s Most Innovative and Awarded Express Logistics Company.,2021-01-01
Smallcase,Fintech,Series C,40000000,Bangalore,Smallcase is a new way to invest in the stock markets.,2021-01-01
SATYA MicroCapital,Banking,Seed,10000000,New Delhi,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,2021-01-01
Snack Amor,Food & Beverages,Seed,3000000,Mumbai,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",2021-01-01
Postman,Computer Software,Series D,225000000,Bangalore,Postman is the collaboration platform for API development.,2021-01-01
Hashnode,Computer Software,Series A,6700000,Bangalore,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,2021-01-01
RACEnergy,Automotive,Seed,1300000,Hyderabad,RACEnergy is working to power the future of mobility through clean and efficient technologies.,2021-01-01
BharatPe,Fintech,Debt,20000000,New Delhi,The vision to make financial inclusion a reality for Indian merchants.,2021-01-01
Gyde,Computer Software,Seed,250000,Pune,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.",2021-01-01
BatteryPool,Automotive,Seed,3000000,Pune,Building the Operating System for managing Electric Vehicles in fleets.,2021-01-01
AgNext,Agritech,Series A,21000000,Chandigarh,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",2021-01-01
Xpresslane,Tech,Pre-Seed,400000,Bangalore,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",2021-01-01
LoanKuber,Digital Mortgage,Pre-Series A,1200000,New Delhi,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,2021-01-01
OYO,Hospitality,Series F,5000000,Gurugram,OYO is a global travel tech company that connects its patrons and guests.,2021-01-01
Rapido,Information Technology & Services,Seed,52000000,Bangalore,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,2021-01-01
YPay,Fintech,Seed,400000,Noida,YPay Card is the new way to manage money.,2021-01-01
SleepyCat,Furniture,Seed,3800000,Mumbai,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,2021-01-01
Ultrahuman,Healthcare,Seed,17500000,Bangalore,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,2021-01-01
UpScalio,E-Commerce,Seed,42000000,Gurugram,"UpScalio is India’s next generation, data-driven consumer goods company.",2021-01-01
Yellow Class,Edtech,Seed,6000000,Gurugram,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on",2021-01-01
Yojak,B2B,Seed,3800000,Gurugram,India’s first B2B online marketplace for building material.,2021-01-01
CreatorStack,Computer Software,Seed,2000000,Bangalore,Helping creators globally to engage deeply with their fans and communities,2021-01-01
Expertrons,Edtech,Seed,2300000,Mumbai,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,2021-01-01
Rage Coffee,Food & Beverages,Seed,5000000,New Delhi,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",2021-01-01
Klub,Financial Services,Seed,20000000,Bangalore,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,2021-01-01
Navia Life Care,Healtcare,Seed,1000000,New Delhi,Navia Life Care is a health technlogy company with a special focus on patient care.,2021-01-01
1K Kirana Bazaar,Retail,Seed,7000000,Gurugram,India's First and Largest Network of Small-Town Kirana Stores,2021-01-01
Zupee,Games,Seed,30000000,Gurugram,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications",2021-01-01
Locale.ai,Location Analytics,Seed,1000000,Bangalore,Location Analytics for Companies With Moving Assets and Ground Operations.,2021-01-01
VerSe Innovation,Media,Seed,450000000,Bangalore,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",2021-01-01
MetroRide,Logistics & Supply Chain,Seed,3000000,Bangalore,"Urban Mobility Affordable, Punctual & Sustainable.",2021-01-01
Miko,Consumer Electronics,Seed,28000000,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2021-01-01
Whiz League,Edtech,Seed,300000,New Delhi,Revolutionizing learning experience that goes beyond academia,2021-01-01
Hash,Tobacco,Seed,3500000,New Delhi,Hash is a new startup in consumer goods.,2021-01-01
Unacademy,Edtech,Seed,3000000,Bangalore,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,2021-01-01
Log 9 Materials,Deeptech,Series A,8500000,Bangalore,Log9 Materials is on a mission to make global energy 100% clean.,2021-01-01
upGrad,Edtech,Seed,25000000,Mumbai,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.",2021-01-01
FlashPrep,Edtech,Pre-Seed,500000,Bangalore,FlashPrep is the smart way to master learning.,2021-01-01
Kenko Health,Insuretech,Pre-Series A,1700000,Mumbai,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience",2021-01-01
Wiz Freight,Logistics & Supply Chain,Seed,3500000,Chennai,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.",2021-01-01
